City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,savsat,41.2403,42.3611,10.43,48,0,1.97,TR,1697315038
273,massaguet,12.4755,15.4365,34.26,16,0,3.5,TD,1697315038
274,salekhard,66.53,66.6019,-2.86,87,47,2.27,RU,1697315038
275,new norfolk,-42.7826,147.0587,7.72,77,98,2.15,AU,1697314840
276,saint-francois,46.4154,3.9054,9.26,93,0,0.0,FR,1697315038
277,malpica,43.3228,-8.8105,16.3,74,100,5.26,ES,1697315038
278,severo-yeniseyskiy,60.3725,93.0408,0.88,90,100,4.02,RU,1697315038
279,prince rupert,54.3161,-130.3201,12.05,96,100,7.2,CA,1697314808
280,mont-laurier,46.5501,-75.4993,12.79,73,100,3.28,CA,1697315038
281,hamilton,39.1834,-84.5333,14.49,88,100,6.69,US,1697315038
282,kendari,-3.945,122.4989,23.12,95,53,1.42,ID,1697314887
283,coruripe,-10.1256,-36.1756,26.16,72,79,5.56,BR,1697315039
284,guerrero negro,27.9769,-114.0611,24.28,59,45,5.06,MX,1697315039
285,bengkulu,-3.8004,102.2655,22.87,95,83,1.63,ID,1697315039
286,al kharijah,25.4514,30.5464,24.83,33,0,3.65,EG,1697315039
287,gwadar,25.1216,62.3254,26.6,85,0,4.18,PK,1697315039
288,nandurbar,21.3667,74.25,28.38,47,99,2.67,IN,1697315039
289,selebi-phikwe,-21.979,27.8498,24.13,53,11,7.27,BW,1697315039
290,tuzantla,19.2029,-100.5668,31.54,57,29,1.63,MX,1697315039
291,san antonio de pale,-1.4014,5.6325,25.82,84,100,7.03,GQ,1697314753
292,weno,7.4515,151.8468,25.97,89,100,3.6,FM,1697315040
293,sakakah,29.9697,40.2064,26.76,18,0,3.42,SA,1697315040
294,kapuskasing,49.4169,-82.4331,8.05,81,100,4.63,CA,1697314802
295,taoudenni,22.6783,-3.9836,30.8,13,0,2.76,ML,1697315040
296,biltine,14.5333,20.9167,32.22,19,2,5.58,TD,1697315040
297,mantua,45.1667,10.7833,19.58,80,54,0.89,IT,1697315040
298,afaahiti,-17.75,-149.2833,27.93,78,43,4.8,PF,1697315040
299,glen innes,-29.7333,151.7333,9.59,56,0,1.61,AU,1697315041
300,ialibu,-6.2821,143.9935,13.18,98,100,0.85,PG,1697315041
301,parry sound,45.3501,-80.033,13.03,50,83,5.18,CA,1697315041
302,kununurra,-15.7667,128.7333,20.99,64,6,3.6,AU,1697315041
303,kargil,34.5667,76.1,2.37,67,86,2.24,IN,1697315042
304,berezovo,63.9381,65.0419,-0.02,94,98,1.79,RU,1697315042
305,vilyuchinsk,52.9306,158.4028,5.15,93,100,2.63,RU,1697315042
306,cururupu,-1.8283,-44.8683,29.13,62,94,2.85,BR,1697315042
307,najran,17.4924,44.1277,23.36,25,4,1.53,SA,1697315042
308,sarina,-21.4333,149.2167,19.23,1,35,1.08,AU,1697315042
309,semenivka,52.1783,32.5818,17.79,55,100,8.22,UA,1697315042
310,saint neots,52.2167,-0.2667,8.36,81,10,4.74,GB,1697315042
311,richards bay,-28.783,32.0377,19.2,67,68,8.17,ZA,1697315042
312,pisco,-13.7,-76.2167,21.03,68,0,9.26,PE,1697315043
313,bubaque,11.2833,-15.8333,27.94,77,97,1.86,GW,1697315043
314,porto belo,-27.1578,-48.5531,18.97,73,100,4.15,BR,1697315043
315,kibondo,-3.5864,30.7203,18.43,80,92,1.71,TZ,1697315043
316,las heras,-46.5419,-68.9359,17.13,26,0,5.69,AR,1697314837
317,visakhapatnam,17.69,83.2093,25.89,75,16,1.28,IN,1697315043
318,salalah,17.0151,54.0924,28.05,78,75,2.06,OM,1697315043
319,fada,9.5667,8.3,22.8,82,60,0.08,NG,1697315043
320,katima mulilo,-17.5,24.2667,26.46,37,99,1.17,NA,1697315043
321,garachico,28.7781,-17.7646,24.06,73,0,2.57,ES,1697315043
322,san mariano,7.5,126.0,21.95,86,17,1.31,PH,1697315044
323,mount isa,-20.7333,139.5,19.87,19,6,4.63,AU,1697315045
324,acate,37.025,14.493,20.23,82,0,2.06,IT,1697315045
325,razampeta,14.1833,79.1667,24.71,76,64,0.96,IN,1697315045
326,maun,-19.9833,23.4167,29.98,37,0,4.12,BW,1697315045
327,cannonvale,-20.2833,148.7,21.66,81,45,1.83,AU,1697315045
328,berdigestyakh,62.0989,126.6992,-9.28,87,6,2.24,RU,1697315045
329,cananeia,-25.0147,-47.9267,18.52,85,100,2.97,BR,1697315045
330,jianjiang,26.5497,119.755,20.03,89,100,1.8,CN,1697315045
331,bodaybo,57.8506,114.1933,-1.61,95,99,0.9,RU,1697315045
332,beira,-19.8436,34.8389,27.05,83,20,7.72,MZ,1697315046
333,tabou,4.423,-7.3528,25.48,89,100,2.95,CI,1697315046
334,aroeiras,-7.5453,-35.7075,27.94,50,100,6.34,BR,1697315046
335,isangel,-19.55,169.2667,26.06,83,75,1.03,VU,1697315046
336,saint-pierre,-21.3393,55.4781,22.82,73,0,0.0,RE,1697315046
337,boguchany,58.3814,97.4531,2.14,97,100,3.13,RU,1697315046
338,codrington,-38.2667,141.9667,9.25,90,100,2.86,AU,1697315046
339,ulladulla,-35.35,150.4667,10.94,69,9,1.67,AU,1697315046
340,vila velha,-20.3297,-40.2925,22.97,90,75,6.26,BR,1697315047
341,olbersdorf,50.8833,14.7667,10.8,88,67,3.54,DE,1697315047
342,aracataca,10.5918,-74.1898,32.27,67,100,0.89,CO,1697315047
343,bamboo flat,11.7,92.7167,26.65,83,76,0.81,IN,1697315048
344,santa terezinha,-29.9002,-50.0904,17.6,80,72,7.5,BR,1697315049
345,san patricio,28.017,-97.5169,26.94,25,2,5.44,US,1697315050
346,altai,46.3722,96.2583,6.37,34,81,1.85,MN,1697315050
347,meiktila,20.8667,95.8667,22.89,90,5,1.15,MM,1697315051
